Abbreviation	Name
ABILE	Abilene Christian
ACU	Abilene Christian
AIRFOR	Air Force
AIRFO	Air Force
AKRON	Akron
ALAAM	Alabama A&M
ALAB	Alabama
ALA.ST	Alabama State
ALBNY	Albany-NY
ALCORN	Alcorn State
ANGELO	Angelo State
APP	Appalachian State
APP-ST	Appalachian State
ARIZON	Arizona
ARIZ	Arizona
ARIZST	Arizona State
ARZST	Arizona State
ARICHR	Arizona Christian
ARK	Arkansas
ARKP-B	Arkansas-Pine Bluff
ARKST	Arkansas State
ARK.ST	Arkansas State
ARMY	Army
AUB	Auburn
AUBRN	Auburn
AUST	Austin Peay
PEAY	Austin Peay
BALL	Ball State
BALLST	Ball State
BAMA	Alabama
BAY	Baylor
BAYLOR	Baylor
BLKHIL	Black Hills State
BOWL	Bowling Green
BGREEN	Bowling Green
BOISE	Boise State
BC	Boston College
BOST.C	Boston College
BTHUN	Bethune-Cookman
BUCKNL	Bucknell
BUFF	Buffalo
BYU	BYU
CAL	California
CALDAV	UC Davis
UCD	UC Davis
CALPOL	Cal Poly
CALPO	Cal Poly
CAMP	Campbell
CAMPBL	Campbell
CCONN	Central Connecticut State
CARK	Central Arkansas
CENTARK	Central Arkansas
CHAR	Charlotte
CHARLT	Charlotte
CHATT	Chattanooga
CHSOU	Charleston Southern
CINCIN	Cincinnati
CINCY	Cincinnati
CITADL	The Citadel
CITAD	The Citadel
CLEM	Clemson
CMICH	Central Michigan
CMU	Central Michigan
COLG	Colgate
COLGATE	Colgate
COLO	Colorado
COLOST	Colorado State
COLST	Colorado State
COAST	Coastal Carolina
CSTCAR	Coastal Carolina
DELAST	Delaware State
DELEWAR	Delaware
DIXIST	Dixie State
DUKE	Duke
DUQUES	Duquesne
E.CAR	East Carolina
ECAR	East Carolina
E.ILL	Eastern Illinois
E.KENT	Eastern Kentucky
EKU	Eastern Kentucky
ELON	Elon
E.MICH	Eastern Michigan
EMU	Eastern Michigan
ETNNST	East Tennessee State
E.WASH	Eastern Washington
FIU	FIU
FLAA&M	Florida A&M
FAU	FL-Atlantic
FLAATL	FL-Atlantic
FLA	Florida
FLAST	Florida State
FSU	Florida State
FORDHM	Fordham
FRES	Fresno State
FRESNO	Fresno State
FURMAN	Furman
GASO	Georgia Southern
GASOU	Georgia Southern
GA.ST	Georgia State
GAST	Georgia State
GATECH	Georgia Tech
GTECH	Georgia Tech
GA	Georgia
GEORGI	Georgia
GRAMB	Grambling State
GWEBB	Gardner-Webb
WEBB	Gardner-Webb
HAMPTON	Hampton
HAW	Hawaii
HAWAII	Hawaii
HBU	Houston Baptist
HOLYC	Holy Cross
HOU	Houston
HOUSTO	Houston
HOWARD	Howard
IDAHO	Idaho
ID.ST	Idaho State
IDST	Idaho State
ILL	Illinois
ILLINO	Illinois
ILL.ST	Illinois State
INDIAN	Indiana
INDY	Indiana
IND.ST	Indiana State
INST	Indiana State
INCAR	Incarnate Word
INWORD	Incarnate Word
IOWA	Iowa
IAST	Iowa State
IOWAST	Iowa State
JACKST	Jacksonville State
JVST	Jacksonville State
JMSMAD	James Madison
KANSAS	Kansas
KU	Kansas
KAN.ST	Kansas State
KANST	Kansas State
KENT	Kent State
KENTUC	Kentucky
UK	Kentucky
KSAWST	Kennesaw State
KENNE	Kennesaw State
LAF	Lafayette
LAMAR	Lamar
LATECH	LA Tech
LTECH	LA Tech
LEH	Lehigh
LIB	Liberty
LIBERT	Liberty
LOUIS	Louisville
LOUISV	Louisville
LSU	LSU
MAINE	Maine
MARSH	Marshall
MARSHL	Marshall
MARY	Maryland
MARYL	Maryland
MASS	Massachusetts
UMASS	Massachusetts
MCNESE	McNeese State
MCNEE	McNeese State
MEM	Memphis
MEMPHS	Memphis
MERC	Mercer
MICH	Michigan
MICHST	Michigan State
MSU	Michigan State
MIDTEN	Middle Tenn.
MTSU	Middle Tenn.
MIAMI	Miami-FL
MI-FL	Miami-FL
MINN	Minnesota
M-OH	Miami-OH
MI-OH	Miami-OH
MIS.ST	Mississippi State
MISST	Mississippi State
MIZ.ST	Missouri State
MOST	Missouri State
MOWEST	Missouri Western
MIZZOU	Missouri
MIZZU	Missouri
